Date,Nike,Adidas,Under,North face,Louis
2019-01-07,74.068581,185.155441,17.110001,66.506996,246.703079
2019-01-08,75.056564,183.946869,17.24,66.649635,249.565613
2019-01-09,74.919617,189.844772,17.620001,65.642365,247.275589
2019-01-10,74.753334,186.412369,17.549999,63.699112,246.464523
2019-01-11,74.381622,189.699722,17.860001,63.850636,240.166977
2019-01-14,74.430511,188.732864,17.879999,64.23394,239.308197
2019-01-15,76.181488,192.842056,17.92,64.109154,237.542953
2019-01-16,75.98584,192.503662,17.77,65.303612,235.252945
2019-01-17,77.404213,190.521576,18.15,73.397484,241.789047
2019-01-18,78.695419,195.500946,18.549999,72.889381,245.462646
2019-01-22,78.988884,198.498245,18.59,73.887749,245.319534
2019-01-23,78.744331,198.304871,18.4,74.288872,245.55809
2019-01-24,78.685654,200.431992,18.860001,74.431496,246.035156
2019-01-25,78.851944,195.597641,19.49,74.609779,249.136246
2019-01-28,78.568268,198.208191,19.370001,74.948502,246.798508
2019-01-29,78.470451,196.08107,18.93,75.420952,247.848083
2019-01-30,79.507332,195.984375,19.01,75.02874,264.880219
2019-01-31,80.094231,197.531372,18.940001,75.082222,266.931702
2019-02-01,79.732315,199.465118,18.860001,75.822083,271.607178
2019-02-04,80.201851,196.08107,18.93,76.42823,269.651123
2019-02-05,81.052864,192.890396,19.1,77.078941,277.809326
2019-02-06,80.906136,191.005005,18.93,76.695656,274.899109
2019-02-07,80.593132,195.500946,18.629999,76.463875,270.414429
2019-02-08,80.563782,194.824142,19.040001,76.205383,270.557556
2019-02-11,81.854988,192.600342,19.15,77.230476,275.089935
2019-02-12,82.862526,192.745377,20.01,77.087868,281.292084
2019-02-13,83.537468,193.277145,19.879999,76.63324,281.148956
2019-02-14,82.833176,194.920837,19.780001,77.462242,277.523102
2019-02-15,83.517906,192.455307,19.040001,77.310707,280.719574
2019-02-19,82.725563,189.844772,19.389999,76.989807,281.578339
2019-02-20,82.989693,192.842056,19.18,76.481705,283.629852
2019-02-21,82.119095,192.068558,19.41,77.105705,283.009613
2019-02-22,82.911438,195.404282,19.66,77.524651,283.343567
2019-02-25,83.312485,195.984375,19.629999,77.845543,286.015289
2019-02-26,83.928749,195.984375,19.370001,78.20211,289.020935
2019-02-27,84.290672,199.078354,20.08,77.872292,290.309052
2019-02-28,83.860291,206.619949,20.08,77.800972,288.543854
2019-03-01,85.478439,206.2332,20.41,76.526276,288.162201
2019-03-04,83.987762,206.716629,19.85,76.223206,292.551392
2019-03-05,83.791634,209.133804,19.83,76.125153,293.887268
2019-03-06,83.48761,209.423874,19.43,76.223801,294.841431
2019-03-07,83.615105,208.070251,19.360001,75.515366,292.837646
2019-03-08,83.163979,209.230484,19.110001,76.331406,292.026611
2019-03-11,84.164291,208.65036,19.690001,76.026512,291.788055
2019-03-12,83.78183,203.429276,19.690001,76.268639,292.360535
2019-03-13,84.272179,204.009399,19.700001,76.169998,294.459778
2019-03-14,85.194054,207.200073,19.9,76.026512,296.272705
2019-03-15,85.125389,200.915421,19.799999,77.174347,301.139038
2019-03-18,86.12571,199.368423,19.85,77.577881,304.001556
2019-03-19,85.998215,204.299454,19.73,76.152046,302.61795
2019-03-20,85.017517,204.009399,19,76.977066,305.623657
2019-03-21,86.312057,200.722046,19.280001,75.075951,303.619904
2019-03-22,80.604347,202.655792,18.41,75.784386,303.23819
2019-03-25,80.741623,202.462402,18.58,76.232765,299.087524
2019-03-26,81.77137,200.625351,18.59,76.51075,303.142822
2019-03-27,81.486969,201.785599,18.719999,78.160782,308.009064
2019-03-28,82.418633,205.846436,18.950001,77.9366,308.104492
2019-03-29,82.585373,207.393433,18.870001,78.313225,309.249542
2019-04-01,83.585686,207.296753,18.84,77.828995,312.875427
2019-04-02,82.742287,209.327179,19.030001,78.42083,317.980286
2019-04-03,82.840347,212.227783,19.139999,80.304024,319.172974
2019-04-04,83.634712,212.034409,19.77,79.963242,318.695953
2019-04-05,83.752403,214.838318,19.639999,80.555099,318.266541
2019-04-08,83.095329,215.563492,19.5,79.532806,320.651978
2019-04-09,82.653999,219.962738,18.709999,80.124664,316.787567
2019-04-10,83.242439,216.868759,19.32,80.079826,312.302887
2019-04-11,83.360123,218.270706,19.34,81.344238,314.640686
2019-04-12,84.576195,218.657471,19.690001,81.783638,329.144165
2019-04-15,85.154808,218.464081,19.77,83.684769,327.188141
2019-04-16,86.106102,218.077347,19.5,85.639671,327.23587
2019-04-17,87.018173,217.932297,19.66,85.684525,330.432343
2019-04-18,87.47908,218.850845,19.74,85.056778,334.773865
2019-04-22,85.674599,221.896469,19.540001,84.823624,336.15744
2019-04-23,85.743233,221.219666,19.940001,84.949181,333.104065
2019-04-24,86.684715,223.78186,20.299999,84.303528,334.869293
2019-04-25,85.87072,222.718323,20.1,84.760864,335.737946
2019-04-26,86.606255,221.316345,20.4,84.733955,334.386719
2019-04-29,86.557228,220.832916,20.559999,84.662231,333.325012
2019-04-30,86.135521,221.268021,20.719999,83.406769,336.896149
2019-05-01,84.242752,221.413055,19.68,84.195915,338.778229
2019-05-02,83.624916,220.977951,20.389999,85.523109,342.687225
2019-05-03,84.046608,241.717285,20.24,84.168999,332.408081
2019-05-06,81.95771,240.847107,19.860001,83.971718,323.383606
2019-05-07,80.947571,241.282211,19.51,84.043457,327.775208
2019-05-08,81.173141,246.841705,19.799999,84.330414,320.295044
2019-05-09,81.379082,243.457672,19.610001,83.317101,321.935852
2019-05-10,82.330368,247.671265,19.23,80.815163,312.477112
2019-05-13,80.937775,247.524277,18.530001,81.021408,322.659729
2019-05-14,82.055771,242.134796,19.129999,81.335281,325.410492
2019-05-15,82.389221,245.956421,18.950001,81.873329,329.319519
2019-05-16,82.653999,246.152405,19.360001,81.424957,328.981659
2019-05-17,82.938416,250.317001,20.700001,81.254555,318.557739
2019-05-20,81.251602,245.760452,20.860001,82.590736,323.480164
2019-05-21,82.026352,246.93634,21.16,81.003471,324.590118
2019-05-22,81.594841,257.764282,21.370001,80.083031,322.370209
2019-05-23,81.045647,256.588409,20.85,80.035423,324.783173
2019-05-24,80.574913,254.82457,20.91,78.806892,326.858307
2019-05-28,79.633415,256.245453,20.959999,78.311676,330.670746
2019-05-29,77.348381,256.833405,20.32,78.787834,326.42395
2019-05-30,77.730843,255.902466,20.440001,77.97834,329.753815
2019-05-31,75.86232,253.354706,20.23,79.006882,326.809998
2019-06-03,76.668747,251.541901,20.719999,81.044899,328.64389
2019-06-04,80.26812,253.109726,21.700001,81.654411,330.188141
2019-06-05,81.349907,252.178833,22.6,80.43541,337.330475
2019-06-06,81.084381,251.982849,22.530001,81.163582,338.150909
2019-06-07,82.028488,254.432602,22.889999,82.102562,344.617554
2019-06-10,81.212227,260.606049,22.690001,81.901352,345.72757
